Feature,Coefficient
itching,-3.190864942739143
skin_rash,-0.9652859681519605
nodal_skin_eruptions,1.1039296925245494
continuous_sneezing,-1.4940822395550826
shivering,-1.6776825692902038
chills,-4.829732447063359
joint_pain,1.1237720953322725
stomach_pain,-1.4709292399655256
acidity,0.29690232345512335
ulcers_on_tongue,-0.516537525405491
muscle_wasting,-6.3330153796402335
vomiting,0.29179978195273915
burning_micturition,2.791881589527605
spotting_ urination,-0.2741957615048181
fatigue,1.5964014679671292
weight_gain,0.22432811997709967
anxiety,-2.9241660881190747
cold_hands_and_feets,0.28850850296312425
mood_swings,0.6325986774773202
weight_loss,7.0597199213843576
restlessness,1.1184609913357884
lethargy,-3.1279754510533695
patches_in_throat,-5.453038889713918
irregular_sugar_level,1.0235736160800708
cough,-0.7713714764515878
high_fever,0.16779712906275857
sunken_eyes,-2.0879323352295485
breathlessness,-0.6748236558275469
sweating,-0.007336374381981425
dehydration,-2.171400490723874
indigestion,5.331397627089857
headache,2.6376565510536523
yellowish_skin,1.3760105549624537
dark_urine,5.163589562169769
nausea,0.5281142624132527
loss_of_appetite,-0.9823345435036988
pain_behind_the_eyes,-2.4626907600080017
back_pain,-5.247484342892229
constipation,2.2484760536273853
abdominal_pain,-2.0805433705163767
diarrhoea,3.786453539486117
mild_fever,6.647302697024711
yellow_urine,-0.4602362536164568
yellowing_of_eyes,-2.1837544499778847
acute_liver_failure,-0.5275445862374581
fluid_overload,-246047997034.20114
swelling_of_stomach,-4.508546606074269
swelled_lymph_nodes,-3.686080188724926
malaise,-0.5354692008223991
blurred_and_distorted_vision,0.4357971750628582
phlegm,3.0148844250016325
throat_irritation,-116571223732283.39
redness_of_eyes,22268458145550.83
sinus_pressure,22353324555515.32
runny_nose,42261781954563.445
congestion,7596867851264.916
chest_pain,1.159334680774947
weakness_in_limbs,-5.291515748512679
fast_heart_rate,0.8547130962434485
pain_during_bowel_movements,-1.8884669373530212
pain_in_anal_region,1.38795092514105
bloody_stool,-4.114747861833975
irritation_in_anus,-1.842027360693387
neck_pain,0.4554727674334722
dizziness,-2.3292612440740417
cramps,7.0390685522013925
bruising,4.196657922261733
obesity,0.8439304273367121
swollen_legs,3.396752837659554
swollen_blood_vessels,3.603681904349167
puffy_face_and_eyes,-1.5725111001493648
enlarged_thyroid,17462635130370.352
brittle_nails,-4417203781528.794
swollen_extremeties,-13045431348832.195
excessive_hunger,-0.5065371264234746
extra_marital_contacts,-5.713593172603444
drying_and_tingling_lips,-2.936722891305183
slurred_speech,-12914919914473.998
knee_pain,5.711991080913785
hip_joint_pain,5.690994987163787
muscle_weakness,-7.139529289640819
stiff_neck,0.7599575065286608
swelling_joints,0.7608079212227201
movement_stiffness,-7.327435500999875
spinning_movements,0.9896953343202526
loss_of_balance,1.8315488307541867
unsteadiness,10.075041158839873
weakness_of_one_body_side,5.7448297450853465
loss_of_smell,22090791225374.223
bladder_discomfort,8.439572117406179
foul_smell_of urine,3.1927233459332034
continuous_feel_of_urine,8.943666149014218
passage_of_gases,6.670179695552401
internal_itching,8.614364405021368
toxic_look_(typhos),9.588221021690272
depression,3.7687722198177567
irritability,-4.00473819619331
muscle_pain,10.058561704612424
altered_sensorium,6.902275453710241
red_spots_over_body,-7.4616147102145804
belly_pain,8.040552960484751
abnormal_menstruation,4.112967074319431
dischromic _patches,0.7494636095674834
watering_from_eyes,-5.757531344844575
increased_appetite,5022654111708.703
polyuria,-5022654111721.705
family_history,1.1294527970128163
mucoid_sputum,-12.440811683047922
rusty_sputum,17.937757825706175
lack_of_concentration,2.9159689489249816
visual_disturbances,4.959655381230361
receiving_blood_transfusion,20867823792849.11
receiving_unsterile_injections,-20867823792842.812
coma,20619395834822.914
stomach_bleeding,-20619395834821.914
distention_of_abdomen,-3.2059935744224743
history_of_alcohol_consumption,-3.150329511922479
fluid_overload.1,-3.1952513869224743
blood_in_sputum,13.910155530335881
prominent_veins_on_calf,3.424096587659555
palpitations,12914919914486.896
painful_walking,0.7608079212227228
pus_filled_pimples,-5.124029505409818
blackheads,-5.16309200540981
scurring,-4.909215257134441
skin_peeling,5.408962119292008
silver_like_dusting,4.413794828245991
small_dents_in_nails,5.3962668067920125
inflammatory_nails,4.45212490637099
blister,3.5992201034799987
red_sore_around_nose,3.940016400084631
yellow_crust_ooze,3.6050794784800084
